0.213	0.1677	0.8747
0.214	0.1684	0.8741
0.215	0.169	0.8735
0.216	0.1697	0.8729
0.217	0.1704	0.8724
0.218	0.171	0.8718
0.219	0.1717	0.8712
0.22	0.1724	0.8706
0.221	0.173	0.87
0.222	0.1737	0.8694
0.223	0.1744	0.8688
0.224	0.175	0.8682
0.225	0.1757	0.8676
0.226	0.1764	0.8671
0.227	0.177	0.8665
0.228	0.1777	0.8659
0.229	0.1783	0.8653
0.23	0.179	0.8647
0.231	0.1797	0.8641
0.232	0.1803	0.8635
0.233	0.181	0.8629
0.234	0.1816	0.8624
0.235	0.1822	0.8619
0.236	0.1829	0.8612
0.237	0.1836	0.8606
0.238	0.1842	0.86
0.239	0.1849	0.8594
0.24	0.1855	0.8588
0.241	0.1862	0.8582
0.242	0.1868	0.8576
0.243	0.1874	0.8571
0.244	0.1881	0.8565
0.245	0.1887	0.8559
0.246	0.1894	0.8553
0.247	0.19	0.8547
0.248	0.1906	0.8541
0.249	0.1913	0.8535
0.25	0.1919	0.8529
0.251	0.1925	0.8524
0.252	0.1932	0.8518
0.253	0.1938	0.8512
0.254	0.1944	0.8506
0.255	0.1951	0.85
0.256	0.1957	0.8494
0.257	0.1963	0.8488
0.258	0.197	0.8482
0.259	0.1976	0.8476
0.26	0.1982	0.8471
0.261	0.1988	0.8465
0.262	0.1995	0.8459
0.263	0.2001	0.8453
0.264	0.2007	0.8447
0.265	0.2013	0.8441
0.266	0.2019	0.8435
0.267	0.2026	0.8429
0.268	0.2032	0.8424
0.269	0.2038	0.8418
0.27	0.2044	0.8412
0.271	0.205	0.8406
0.272	0.2056	0.84
0.273	0.2062	0.8394
0.274	0.2069	0.8388
0.275	0.2075	0.8382
0.276	0.2081	0.8376
0.277	0.2087	0.8371
0.278	0.2093	0.8365
0.279	0.2099	0.8359
0.28	0.2105	0.8353
0.281	0.2111	0.8347
0.282	0.2117	0.8341
0.283	0.2123	0.8335
0.284	0.2129	0.8329
0.285	0.2135	0.8324
0.286	0.2141	0.8318
0.287	0.2147	0.8312
0.288	0.2153	0.8306
0.289	0.2159	0.83
0.29	0.2165	0.8294
0.291	0.2171	0.8288
0.292	0.2177	0.8282
0.293	0.2183	0.8276
0.294	0.2188	0.8271
0.295	0.2194	0.8265
0.296	0.22	0.8259
0.297	0.2206	0.8253
0.298	0.2212	0.8247
0.299	0.2218	0.8241
0.3	0.2224	0.8235
0.301	0.2229	0.8229
0.302	0.2235	0.8224
0.303	0.2241	0.8218
0.304	0.2247	0.8212
0.305	0.2253	0.8206
0.306	0.2258	0.82
0.307	0.2264	0.8194
0.308	0.227	0.8188
0.309	0.2276	0.8182
0.31	0.2281	0.8176
0.311	0.2287	0.8171
0.312	0.2293	0.8165
0.313	0.2298	0.8159
0.314	0.2304	0.8153
0.315	0.231	0.8147
0.316	0.2315	0.8141
0.317	0.2321	0.8135
0.318	0.2326	0.8129
0.319	0.2332	0.8124
0.32	0.2338	0.8118
0.321	0.2343	0.8112
0.322	0.2349	0.8106
0.323	0.2355	0.81
0.324	0.236	0.8094
0.325	0.2365	0.8089
0.326	0.2371	0.8082
0.327	0.2377	0.8076
0.328	0.2382	0.8071
0.329	0.2388	0.8065
0.33	0.2393	0.8059
0.331	0.2399	0.8053
0.332	0.2404	0.8047
0.333	0.241	0.8041
0.334	0.2415	0.8035
0.335	0.2421	0.8029
0.336	0.2426	0.8024
0.337	0.2432	0.8018
0.338	0.2437	0.8012
0.339	0.2443	0.8006
0.34	0.2448	0.8
0.341	0.2453	0.7994
0.342	0.2459	0.7988
0.343	0.2464	0.7982
0.344	0.247	0.7976
0.345	0.2475	0.7971
0.346	0.248	0.7965
0.347	0.2486	0.7959
0.348	0.2491	0.7953
0.349	0.2496	0.7947
0.35	0.2501	0.7941
0.351	0.2507	0.7935
0.352	0.2512	0.7929
0.353	0.2517	0.7924
0.354	0.2523	0.7918
0.355	0.2528	0.7912
0.356	0.2533	0.7906
0.357	0.2538	0.79
0.358	0.2543	0.7894
0.359	0.2549	0.7888
0.36	0.2554	0.7882
0.361	0.2559	0.7876
0.362	0.2564	0.7871
0.363	0.2569	0.7865
0.364	0.2575	0.7859
0.365	0.258	0.7853
0.366	0.2585	0.7847
0.367	0.259	0.7841
0.368	0.2595	0.7835
0.369	0.26	0.7829
